model,rads,brand
120c  ,1.38,Motorola
120x ,1.19,Motorola
270c ,1.32,Motorola
A388 ,0.74,Motorola
A630 ,0.59,Motorola
A845 ,1.51,Motorola
Active W450 ,1.23,Motorola
Backflip ,1.37,Motorola
Barrage ,1.25,Motorola
Bobby Jones i99cl ,1.39,Motorola
Brute i680 ,0.59,Motorola
C139 ,1.45,Motorola
C168i (AT&T) ,1.44,Motorola
C290 ,1.53,Motorola
C332 ,0.865,Motorola
C333 (CDMA) ,1.33,Motorola
C350g ,0.93,Motorola
C650 ,1.38,Motorola
Cliq ,0.69,Motorola
Cliq XT ,1.36,Motorola
Clutch i425 ,1.17,Motorola
Crush ,1.53,Motorola
Debut i856 ,0.88,Motorola
Deluxe ic902 ,1.53,Motorola
Devour ,0.45,Motorola
Droid ,1.49,Motorola
E815 ,1.24,Motorola
Entice W766 ,1.4,Motorola
Evoke QA4 ,1.13,Motorola
G520 ,0.457,Motorola
Hint QA30 ,1.4,Motorola
Hint QA30 (Cricket) ,1.4,Motorola
Hollywood ,1.24,Motorola
i1000plus ,0.43,Motorola
i2000plus ,0.79,Motorola
i265 ,1.16,Motorola
i30sx ,0.748,Motorola
i315 ,1.45,Motorola
i335 ,1.53,Motorola
i355 ,1.45,Motorola
i365 ,1.09,Motorola
i425 ,1.35,Motorola
i500plus ,0.69,Motorola
i50sx ,1.36,Motorola
i530 ,1.37,Motorola
i550plus ,0.69,Motorola
i570 ,1.05,Motorola
i576 ,1.45,Motorola
i580 ,1.02,Motorola
i580 ,1.02,Motorola
i58sr ,1.24,Motorola
i605 ,1.25,Motorola
i60c ,1.39,Motorola
i670 ,1.05,Motorola
i700plus ,0.69,Motorola
i730 ,1.18,Motorola
i776 ,1.45,Motorola
i80s ,1.37,Motorola
i830 ,1.41,Motorola
i836 ,1.41,Motorola
i850 ,1.05,Motorola
i85s ,1.36,Motorola
i860 ,0.93,Motorola
i870 ,0.59,Motorola
i880 ,1.3,Motorola
i890 ,0.45,Motorola
i90c ,1.15,Motorola
i95cl ,1.39,Motorola
ic502 ,1.24,Motorola
Karma QA1 ,0.55,Motorola
Krave ZN4 ,1.16,Motorola
Krzr K1 ,1.07,Motorola
Krzr K1m ,1.03,Motorola
Krzr K1m (Sprint) ,1.03,Motorola
M3090 ,0.541,Motorola
M3097 ,0.53,Motorola
M3682 ,0.457,Motorola
Ming A1200 ,0.7,Motorola
MPx200 ,0.2,Motorola
MPx220 ,0.75,Motorola
NASCAR i736 ,1.19,Motorola
P280 ,0.77,Motorola
P8097 ,1.31,Motorola
P8167 ,1.38,Motorola
P8767 ,1.53,Motorola
Pebl U6 ,1.2,Motorola
Q ,1.11,Motorola
Q Global (AT&T) ,1.29,Motorola
Q9c ,1.3,Motorola
Q9h ,1.29,Motorola
Q9m ,1.3,Motorola
Quantico ,1.11,Motorola
Razr Maxx Ve ,1.31,Motorola
Razr V3 ,0.89,Motorola
Razr V3c ,1.14,Motorola
Razr V3i ,1.26,Motorola
Razr V3m ,1.14,Motorola
Razr V3m (Sprint) ,1.14,Motorola
Razr V3x ,0.14,Motorola
Razr V3xx ,1.21,Motorola
Razr VE20 ,1.34,Motorola
Razr2 V8 ,0.36,Motorola
Razr2 V9 ,0.52,Motorola
